customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
7590-VHVEG,Male,0.0,No,No,1.0678446615973194,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No internet service,One year,No,Mailed check,31.741200834221097,735.9,Yes
5575-GNVDE,Male,0.0,No,No,35.5202822327975,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,One year,No,Bank transfer (automatic),56.63370716692272,2606.35,No
3668-QPYBK,Male,0.0,No,Yes,1.939140682838531,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),55.06860320346092,705.45,No
7795-CFOCW,Male,0.0,Yes,Yes,40.62057174994503,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,One year,No,Mailed check,38.749337010789354,29.15,Yes
9237-HQITU,Female,0.0,No,No,1.95628433572893,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,65.01846094733473,3177.25,Yes
9305-CDSKC,Female,0.0,No,No,7.435900632400711,No,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,104.28388651363284,679.85,No
1452-KIOVK,Male,0.0,Yes,Yes,21.63402360589984,Yes,No,No,No internet service,No,No,No,No internet service,No internet service,One year,No,Electronic check,87.9983943464578,1457.25,No
6713-OKOMC,Female,0.0,No,Yes,10.898972129975352,Yes,Yes,No,No,No,No internet service,No,Yes,Yes,One year,No,Electronic check,31.97433711673304,321.4,No
7892-POOKP,Male,0.0,Yes,Yes,26.355837358274805,Yes,No phone service,No,No,No,No,No,Yes,No,Two year,Yes,Electronic check,105.02964387076145,94,Yes
6388-TABGU,Male,0.0,No,No,67.03057058469575,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,60.21292832697299,1165.6,Yes
9763-GRSKD,Male,0.0,Yes,No,13.12776509958886,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,52.52635457896147,943.1,No
7469-LKBCI,Male,0.0,No,No,15.058503290600624,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,18.913103258878664,477.55,Yes
8091-TTVAX,Male,0.0,Yes,Yes,59.84796707222395,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,104.47257612908682,4862.5,Yes
0280-XJGEX,Male,0.0,No,No,49.52629624487819,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,No internet service,One year,No,Bank transfer (automatic),95.8096938555564,708.8,No
5129-JLPIS,Female,0.0,Yes,Yes,27.447714040912384,No,No,DSL,Yes,No,No,No,No internet service,Yes,Two year,No,Electronic check,108.95728588570664,1215.1,No
3655-SNQYZ,Female,0.0,Yes,Yes,69.2449181605924,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),111.16168623988587,482.25,Yes
8191-XWSZG,Male,0.0,No,Yes,46.925585647621034,No,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,19.63853365992996,3190.65,Yes
9959-WOFKT,Male,0.0,Yes,No,71.71803680892538,No,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,111.30771940082725,1529.2,Yes
4190-MFLUW,Male,0.0,Yes,No,10.538710041256243,No,No phone service,No,No,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,55.089830485614726,5308.7,Yes
4183-MYFRB,Female,0.0,Yes,Yes,19.175619378964743,No,No phone service,DSL,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Credit card (automatic),94.92067356098192,6273.4,No
8779-QRDMV,Female,0.9628739435325412,Yes,No,1.0921574315891727,Yes,Yes,No,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),43.41890187296089,1057.55,Yes
1680-VDCWW,Male,0.0,No,Yes,12.69665612589251,No,No phone service,DSL,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,17.83618606649111,3973.2,Yes
1066-JKSGK,Female,0.0,Yes,No,1.0027857282648918,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),18.248661924266322,140.95,No
3638-WEABW,Male,0.0,Yes,No,54.88063251583888,Yes,No,No,No internet service,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),58.28406618425139,416.3,Yes
6322-HRPFA,Female,0.0,Yes,Yes,52.9689022118493,No,No phone service,No,No,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,63.037294615454186,1218.45,No
6865-JZNKO,Female,0.0,No,No,28.427554610900266,Yes,Yes,No,No internet service,No internet service,No,Yes,Yes,No,One year,Yes,Electronic check,51.8834079743652,3930.6,No
6467-CHFZW,Female,0.0,Yes,No,42.6952111777777,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Mailed check,95.47482274947787,516.15,No
8665-UTDHZ,Female,0.0,Yes,Yes,0.9779252958049178,No,No phone service,No,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),28.98257108006135,740.8,No
